ano_compra;"cnpj_instituicao";"sg_uf";"ds_esfera";dt_compra;dt_insercao;validade_compra;"co_catmat";"ds_item";"co_pdm";"co_grupo";"no_grupo";"co_classe";"no_classe";"fg_generico";"tp_compra";"sg_unidade_medida";"cnpj_fornecedor";"no_fornecedor";"cnpj_fabricante";"no_fabricante";qt_medicamento;"ds_observacao";"no_instituicao";"no_municipio";"un_medida_capacidade";"no_pdm";"nu_processo_compra";"nu_ata";"un_fornecimento";"registro_anvisa";"modalidade";vl_capacidade;vl_preco_unitario;vl_preco_total;co_seq_bps
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"366913";"GLICOSE, COMPOSIÇÃO:ASSOCIADA AO CLORETO DE SÓDIO, CONCENTRAÇAO:5% + 0,9%, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL, CARACTERISTICA ADICIONAL:SISTEMA FECHADO";"8007";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";"ML";"00802002000102";"ALTERMED MATERIAL MEDICO HOSPITALAR LTDA";"49324221000104";"FRESENIUS KABI BRASIL LTDA.";"5300";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"FRASCO 500,00 ML";"GLICOSE";"63/2023";"98/2023";"FRASCO";"1004100110183";"Pregão";"50000.0";"6.23";"33019.0";"13133499"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"267512";"AMITRIPTILINA CLORIDRATO, DOSAGEM:25 MG";"5134";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"ADMINISTRATIVA";;"03652030000170";"CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA";"05161069000110";"BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A.";"600000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"COMPRIMIDO";"AMITRIPTILINA CLORIDRATO";"63/2023";"98/2023";"COMPRIMIDO";"1558400670029";"Pregão";;"0.035";"21000.0";"13133500"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"267647";"DIGOXINA, DOSAGEM:0,25 MG";"6200";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"ADMINISTRATIVA";;"03652030000170";"CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA";"02501297000102";"PHARLAB INDUSTRIA FARMACEUTICA S.A";"20000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"COMPRIMIDO";"DIGOXINA";"63/2023";"98/2023";"COMPRIMIDO";"1410700590021";"Pregão";;"0.174";"3480.0";"13133501"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"276657";"METOPROLOL, PRINCÍPIO ATIVO:SAL SUCCINATO, DOSAGEM:50 MG, APRESENTAÇÃO:LIBERAÇÃO CONTROLADA";"9703";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";;"03652030000170";"CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA";"64171697000146";"ACCORD FARMACEUTICA LTDA";"20000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"COMPRIMIDO";"METOPROLOL";"63/2023";"98/2023";"COMPRIMIDO";"1553700420086";"Pregão";;"0.371";"7420.0";"13133502"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"267712";"OMEPRAZOL, CONCENTRAÇÃO:20 MG";"10216";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";;"03652030000170";"CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA";"18324343000177";"BELFAR LTDA";"901000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"CÁPSULA";"OMEPRAZOL";"63/2023";"98/2023";"CÁPSULA";"1057100830098";"Pregão";;"0.037";"33337.0";"13133503"
"2024";"11892520000172";"SP";"MUNICIPAL";"28/05/2024";;"12";"267564";"CARVEDILOL, DOSAGEM:12,5 MG";"4677";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";;"ADMINISTRATIVA";;"10448145000103";"GRAMS & GRAMS LTDA.";"57507378000365";"EMS S/A";"200000";;"FUNDO MUNICIPAL DE SAUDE DE BASTOS";"BASTOS";"COMPRIMIDO";"CARVEDILOL";"90";"209";"COMPRIMIDO";;"Pregão";;"0.0719";"14380.0";"13165162"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"268370";"ACICLOVIR, DOSAGEM:200 MG";"363";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"ADMINISTRATIVA";;"94516671000153";"CIRURGICA SANTA CRUZ COM. DE PRODUTOS HOSPITALARES LTDA.";"73663650000190";"RANBAXY FARMACEUTICA LTDA";"22000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"COMPRIMIDO";"ACICLOVIR";"63/2023";"98/2023";"COMPRIMIDO";"1235200570065";"Pregão";;"0.179";"3938.0";"13133516"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"267503";"ÁCIDO FÓLICO, DOSAGEM:5 MG";"354";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";;"94516671000153";"CIRURGICA SANTA CRUZ COM. DE PRODUTOS HOSPITALARES LTDA.";"05161069000110";"BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A.";"60000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"COMPRIMIDO";"ÁCIDO FÓLICO";"63/2023";"98/2023";"COMPRIMIDO";"1558402710011";"Pregão";;"0.0299";"1794.0";"13133517"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"267517";"ATENOLOL, DOSAGEM:50 MG";"3106";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"ADMINISTRATIVA";;"94516671000153";"CIRURGICA SANTA CRUZ COM. DE PRODUTOS HOSPITALARES LTDA.";"05161069000110";"BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A.";"112000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"COMPRIMIDO";"ATENOLOL";"63/2023";"98/2023";"COMPRIMIDO";"1558404700021";"Pregão";;"0.0449";"5028.8";"13133518"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"272434";"ANLODIPINO BESILATO, DOSAGEM:5 MG";"2411";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"ADMINISTRATIVA";;"94516671000153";"CIRURGICA SANTA CRUZ COM. DE PRODUTOS HOSPITALARES LTDA.";"05161069000110";"BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A.";"250500";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"COMPRIMIDO";"ANLODIPINO BESILATO";"63/2023";"98/2023";"COMPRIMIDO";"1558401940011";"Pregão";;"0.0196";"4909.8";"13133519"
